id,Name,Type,Date (UTC),Description,Statement Descriptor,Unit Label,Url,Tax Code,category (metadata),collection (metadata),type (metadata),release (metadata),brand (metadata),slug (metadata),size (metadata),make (metadata)
prod_ONx7EjGyNTdrYp,Nike Kobe Protro 6 Think Pink - 12,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-protro-6-think-pink,,kobe,kobe-6,,2021-12-28,nike,nike-kobe-protro-6-think-pink,12,
prod_ONx7iRrwpmA9at,Nike Kobe Protro 6 Think Pink - 10,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-protro-6-think-pink,,kobe,kobe-6,,2021-12-28,nike,nike-kobe-protro-6-think-pink,10,
prod_ONx7tw2GU4hJ4x,Nike Kobe Protro 6 Think Pink - 10.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-protro-6-think-pink,,kobe,kobe-6,,2021-12-28,nike,nike-kobe-protro-6-think-pink,10.5,
prod_ONx7v0pibffEoD,Nike Kobe Protro 6 Think Pink - 11,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-protro-6-think-pink,,kobe,kobe-6,,2021-12-28,nike,nike-kobe-protro-6-think-pink,11,
prod_ONx7yBU4EmWU47,Nike Kobe Protro 6 Think Pink - 9,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-protro-6-think-pink,,kobe,kobe-6,,2021-12-28,nike,nike-kobe-protro-6-think-pink,9,
prod_ONx7p3HyDOl4Y2,Nike Kobe Protro 6 Think Pink - 9.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-protro-6-think-pink,,kobe,kobe-6,,2021-12-28,nike,nike-kobe-protro-6-think-pink,9.5,
prod_ONx7OXuXgAKMHU,Nike Kobe Protro 6 Think Pink - 8,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-protro-6-think-pink,,kobe,kobe-6,,2021-12-28,nike,nike-kobe-protro-6-think-pink,8,
prod_ONx7Lf3qrWW5aL,Nike Kobe Protro 6 Think Pink - 8.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-protro-6-think-pink,,kobe,kobe-6,,2021-12-28,nike,nike-kobe-protro-6-think-pink,8.5,
prod_ONx7fTjpkimEnR,Nike Kobe Protro 6 Think Pink - 7,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-protro-6-think-pink,,kobe,kobe-6,,2021-12-28,nike,nike-kobe-protro-6-think-pink,7,
prod_ONx7G2E3EpiqYS,Nike Kobe Protro 6 Think Pink - 7.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-protro-6-think-pink,,kobe,kobe-6,,2021-12-28,nike,nike-kobe-protro-6-think-pink,7.5,
prod_ONx7S5mheYCPBJ,Nike Kobe 6 Protro Mambacita Sweet 16 - 13,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,13,
prod_ONx7E8mrYwiWRz,Nike Kobe 6 Protro Mambacita Sweet 16 - 11,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,11,
prod_ONx7df2zAotwzh,Nike Kobe 6 Protro Mambacita Sweet 16 - 14,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,14,
prod_ONx703vbX86c3E,Nike Kobe 6 Protro Mambacita Sweet 16 - 12,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,12,
prod_ONx7pEVG5w0NP3,Nike Kobe 6 Protro Mambacita Sweet 16 - 10.5,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,10.5,
prod_ONx7JQJaeQpYo7,Nike Kobe 6 Protro Mambacita Sweet 16 - 10,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,10,
prod_ONx7ItbWzQJKhp,Nike Kobe 6 Protro Mambacita Sweet 16 - 9,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,9,
prod_ONx778K9CEsr5M,Nike Kobe 6 Protro Mambacita Sweet 16 - 9.5,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,9.5,
prod_ONx7GxlDwrY9cp,Nike Kobe 6 Protro Mambacita Sweet 16 - 8.5,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,8.5,
prod_ONx7UnSDfol5qD,Nike Kobe 6 Protro Mambacita Sweet 16 - 7.5,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,7.5,
prod_ONx7XyKOTBG9Jx,Nike Kobe 6 Protro Mambacita Sweet 16 - 7,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,7,
prod_ONx7I7ZLWnBLHD,Nike Kobe 6 Protro Mambacita Sweet 16 - 8,service,2023-08-03 23:46,"`Nike honors the legacy of Kobe Bryant and his daughter Gigi with the Kobe 6 Protro 'Mambacita Sweet Sixteen.' Black snake scales across the upper reference the Laker legend's Black Mamba alter ego, while the Swoosh, tongue logo and leather back panels are executed in white. A Mamba & Mambacita Sports Foundation crest appears in place of the traditional Kobe signature heel mold, with ""Kobe"" and ""Gigi"" printed on the left and right shoe, respectively. A gold ""2"" on the lateral window represents Gigi's AAU uniform number. The insole design pays further tribute to Gigi with an illustration that features a halo, angel wings, the nickname ""Mambacita"" and another ""2.""
`",PRIME ORCA LLC,,nike-kobe-6-protro-mamba-forever,,kobe,kobe-6,,2022-05-01,nike,nike-kobe-6-protro-mamba-forever,8,
prod_ONx7rR9ShQrrIU,Nike Kobe 6 Protro Chaos - 13,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,13,
prod_ONx7U0dh0PJD02,Nike Kobe 6 Protro Chaos - 10,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,10,
prod_ONx7TorMuRMjjk,Nike Kobe 6 Protro Chaos - 11,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,11,
prod_ONx7rRbTCBB8lH,Nike Kobe 6 Protro Chaos - 12,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,12,
prod_ONx7KfGPuOUwEP,Nike Kobe 6 Protro Chaos - 14,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,14,
prod_ONx7Olk9AgZNHd,Nike Kobe 6 Protro Chaos - 10.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,10.5,
prod_ONx7QqXXGYfKGV,Nike Kobe 6 Protro Chaos - 9,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,9,
prod_ONx7k63q0VQL84,Nike Kobe 6 Protro Chaos - 9.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,9.5,
prod_ONx7p1AFdIkBPX,Nike Kobe 6 Protro Chaos - 7,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,7,
prod_ONx7qdDDASDlyG,Nike Kobe 6 Protro Chaos - 7.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,7.5,
prod_ONx7QWzk5KkdUp,Nike Kobe 6 Protro Chaos - 8.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,8.5,
prod_ONx7klV9HPTxce,Nike Kobe 6 Protro Chaos - 8,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-kobe-6-protro-chaos,,kobe,kobe-6,,,nike,nike-kobe-6-protro-chaos,8,
prod_ONx7gqtPElDIGT,Nike Zoom Kobe 6 White Del Sol - 14,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,14,
prod_ONx7bdLLHtOPXd,Nike Zoom Kobe 6 White Del Sol - 13,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,13,
prod_ONx7VaBx477m0q,Nike Zoom Kobe 6 White Del Sol - 12,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,12,
prod_ONx7FBfJULQ4tD,Nike Zoom Kobe 6 White Del Sol - 10,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,10,
prod_ONx7PrpAx2dlJ4,Nike Zoom Kobe 6 White Del Sol - 11,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,11,
prod_ONx7UOs2qcRMS8,Nike Zoom Kobe 6 White Del Sol - 9,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,9,
prod_ONx7oR1eGiyLl8,Nike Zoom Kobe 6 White Del Sol - 10.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,10.5,
prod_ONx74UdNGRhB2C,Nike Zoom Kobe 6 White Del Sol - 8.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,8.5,
prod_ONx7c7tvQPfWYt,Nike Zoom Kobe 6 White Del Sol - 9.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,9.5,
prod_ONx7Yy7tuW7Wdf,Nike Zoom Kobe 6 White Del Sol - 8,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,8,
prod_ONx7FU4WBTyNZU,Nike Kobe 6 Protro Reverse Grinch - 12,service,2023-08-03 23:46,`Reverse Grinches.`,PRIME ORCA LLC,,nike-kobe-6-reverse-grinch,,kobe,kobe-6,,2023-12-16,nike,nike-kobe-6-reverse-grinch,12,
prod_ONx7gjxRkua1On,Nike Zoom Kobe 6 White Del Sol - 7,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,7,
prod_ONx7RRXmTcqj1x,Nike Kobe 6 Black Del Sol - 13,service,2023-08-03 23:46,"The inaugural colorway of the Zoom Kobe 6, the Zoom Kobe 6 'Black Del Sol' is most notable for the snakeskin detailing throughout the upper. Created through the application of polyurethane 'islands' on the mesh upper, the shoe's black makeup is accented by bright Del Sol on the Swoosh and heel branding. The black midsole features Phylon and Zoom Air, giving way to an outsole sporting another hit of Del Sol.",PRIME ORCA LLC,,kobe-6-black-del-sol,,kobe,kobe-6,,2010-12-26,nike,kobe-6-black-del-sol,13,
prod_ONx7LOOfsCGfZG,Nike Zoom Kobe 6 White Del Sol - 7.5,service,2023-08-03 23:46,Kobe Bryant,PRIME ORCA LLC,,nike-zoom-kobe-6-white-del-sol,,kobe,kobe-6,,2011-07-15,nike,nike-zoom-kobe-6-white-del-sol,7.5,
prod_ONx7tg2eZe8RMK,Nike Kobe 6 Black Del Sol - 14,service,2023-08-03 23:46,"The inaugural colorway of the Zoom Kobe 6, the Zoom Kobe 6 'Black Del Sol' is most notable for the snakeskin detailing throughout the upper. Created through the application of polyurethane 'islands' on the mesh upper, the shoe's black makeup is accented by bright Del Sol on the Swoosh and heel branding. The black midsole features Phylon and Zoom Air, giving way to an outsole sporting another hit of Del Sol.",PRIME ORCA LLC,,kobe-6-black-del-sol,,kobe,kobe-6,,2010-12-26,nike,kobe-6-black-del-sol,14,
prod_ONx7VHDWmCBxYK,Nike Kobe 6 Black Del Sol - 11,service,2023-08-03 23:46,"The inaugural colorway of the Zoom Kobe 6, the Zoom Kobe 6 'Black Del Sol' is most notable for the snakeskin detailing throughout the upper. Created through the application of polyurethane 'islands' on the mesh upper, the shoe's black makeup is accented by bright Del Sol on the Swoosh and heel branding. The black midsole features Phylon and Zoom Air, giving way to an outsole sporting another hit of Del Sol.",PRIME ORCA LLC,,kobe-6-black-del-sol,,kobe,kobe-6,,2010-12-26,nike,kobe-6-black-del-sol,11,
prod_ONx7tT0Mf9ZF1u,Nike Kobe 6 Black Del Sol - 12,service,2023-08-03 23:46,"The inaugural colorway of the Zoom Kobe 6, the Zoom Kobe 6 'Black Del Sol' is most notable for the snakeskin detailing throughout the upper. Created through the application of polyurethane 'islands' on the mesh upper, the shoe's black makeup is accented by bright Del Sol on the Swoosh and heel branding. The black midsole features Phylon and Zoom Air, giving way to an outsole sporting another hit of Del Sol.",PRIME ORCA LLC,,kobe-6-black-del-sol,,kobe,kobe-6,,2010-12-26,nike,kobe-6-black-del-sol,12,
